	x軸　	y軸	press
1	48.8 	219.4 	0.026 
2	49.6 	219.4 	0.300 
3	50.4 	219.4 	0.313 
4	51.2 	218.6 	0.315 
5	52.0 	218.6 	0.319 
6	54.4 	217.0 	0.332 
7	59.2 	215.4 	0.347 
8	62.4 	213.8 	0.351 
9	64.8 	213.0 	0.357 
10	68.0 	212.2 	0.364 
11	72.8 	210.6 	0.378 
12	76.8 	209.8 	0.385 
13	79.2 	209.0 	0.385 
14	80.8 	209.0 	0.387 
15	81.6 	209.0 	0.388 
16	82.4 	209.0 	0.391 
17	83.2 	208.2 	0.408 
18	84.0 	208.2 	0.413 
19	84.8 	208.2 	0.418 
20	85.6 	207.4 	0.418 
21	85.6 	206.6 	0.256 
22	85.6 	206.6 	0.000 
23	79.2 	193.0 	0.106 
24	76.8 	193.8 	0.325 
25	75.2 	197.8 	0.354 
26	74.4 	198.6 	0.367 
27	73.6 	200.2 	0.381 
28	72.8 	203.4 	0.401 
29	71.2 	208.2 	0.415 
30	71.2 	212.2 	0.424 
31	70.4 	217.0 	0.433 
32	70.4 	224.2 	0.442 
33	70.4 	229.0 	0.450 
34	70.4 	234.6 	0.454 
35	70.4 	240.2 	0.460 
36	70.4 	245.8 	0.463 
37	72.0 	254.6 	0.468 
38	72.8 	259.4 	0.469 
39	73.6 	263.4 	0.469 
40	74.4 	266.6 	0.469 
41	75.2 	269.8 	0.470 
42	76.0 	73.0 	0.471 
43	77.6 	77.0 	0.469 
44	78.4 	79.4 	0.461 
45	79.2 	81.0 	0.443 
46	80.0 	281.0 	0.437 
47	80.0 	279.4 	0.041 
48	80.0 	279.4 	0.000 
49	87.2 	233.8 	0.097 
50	86.4 	233.8 	0.295 
51	86.4 	234.6 	0.317 
52	86.4 	236.2 	0.357 
53	84.8 	238.6 	0.387 
54	84.0 	241.8 	0.411 
55	83.2 	245.8 	0.430 
56	80.8 	252.2 	0.444 
57	78.4 	259.4 	0.459 
58	77.6 	261.8 	0.466 
59	74.4 	272.2 	0.475 
60	72.8 	274.6 	0.475 
61	72.0 	276.2 	0.477 
62	70.4 	277.8 	0.479 
63	68.8 	279.4 	0.480 
64	66.4 	281.0 	0.481 
65	64.8 	281.8 	0.480 
66	63.2 	282.6 	0.478 
67	62.4 	283.4 	0.479 
68	60.8 	283.4 	0.480 
69	60.0 	282.6 	0.473 
70	60.0 	281.8 	0.474 
71	60.0 	279.4 	0.474 
72	60.0 	277.0 	0.474 
73	60.0 	276.2 	0.473 
74	60.0 	273.8 	0.472 
75	60.0 	272.2 	0.472 
76	60.0 	269.8 	0.469 
77	60.8 	268.2 	0.468 
78	60.8 	266.6 	0.467 
79	63.2 	61.0 	0.465 
80	64.8 	58.6 	0.465 
81	65.6 	56.2 	0.462 
82	66.4 	54.6 	0.464 
83	67.2 	53.0 	0.464 
84	69.6 	49.0 	0.464 
85	71.2 	46.6 	0.464 
86	72.8 	44.2 	0.462 
87	74.4 	42.6 	0.464 
88	76.8 	39.4 	0.464 
89	81.6 	34.6 	0.469 
90	83.2 	33.0 	0.470 
91	85.6 	31.4 	0.468 
92	87.2 	31.4 	0.466 
93	88.8 	30.6 	0.468 
94	90.4 	30.6 	0.469 
95	93.6 	30.6 	0.469 
96	95.2 	30.6 	0.467 
97	97.6 	31.4 	0.466 
98	99.2 	32.2 	0.469 
99	101.0 	233.8 	0.470 
100	104.0 	237.0 	0.477 
101	105.0 	238.6 	0.483 
102	105.0 	240.2 	0.486 
103	106.0 	242.6 	0.490 
104	107.0 	244.2 	0.494 
105	107.0 	246.6 	0.503 
106	107.0 	249.0 	0.512 
107	107.0 	252.2 	0.521 
108	107.0 	254.6 	0.524 
109	107.0 	258.6 	0.529 
110	105.0 	269.0 	0.553 
111	104.0 	270.6 	0.559 
112	104.0 	273.8 	0.567 
113	104.0 	276.2 	0.571 
114	103.0 	277.8 	0.572 
115	103.0 	278.6 	0.568 
116	103.0 	276.2 	0.478 
117	102.0 	272.2 	0.122 
118	102.0 	272.2 	0.000 
119	150.0 	248.2 	0.144 
120	150.0 	247.4 	0.298 
121	150.0 	246.6 	0.345 
122	151.0 	245.8 	0.355 
123	152.0 	245.0 	0.364 
124	153.0 	243.4 	0.366 
125	155.0 	241.8 	0.367 
126	157.0 	240.2 	0.367 
127	161.0 	237.0 	0.376 
128	165.0 	235.4 	0.380 
	169.0 	233.8 	0.382 
	172.0 	232.2 	0.382 
	176.0 	231.4 	0.382 
	180.0 	229.8 	0.389 
	184.0 	229.0 	0.403 
	184.0 	229.8 	0.424 
	184.0 	230.6 	0.431 
	185.0 	232.2 	0.436 
	185.0 	233.8 	0.445 
	186.0 	238.6 	0.472 
	186.0 	242.6 	0.488 
	186.0 	247.4 	0.499 
	185.0 	251.4 	0.509 
	184.0 	258.6 	0.537 
	181.0 	267.4 	0.577 
	180.0 	268.2 	0.584 
	180.0 	269.0 	0.611 
	179.0 	269.0 	0.617 
	177.0 	269.0 	0.612 
	176.0 	268.2 	0.599 
	173.0 	266.6 	0.523 
	171.0 	260.2 	0.146 
	171.0 	260.2 	0.000 
	161.0 	223.4 	0.207 
	161.0 	224.2 	0.418 
	161.0 	225.0 	0.445 
	161.0 	227.4 	0.488 
	161.0 	236.2 	0.539 
	160.0 	257.8 	0.620 
	160.0 	259.4 	0.625 
	159.0 	263.4 	0.630 
	158.0 	265.8 	0.630 
	157.0 	267.4 	0.630 
	157.0 	268.2 	0.632 
	156.0 	269.8 	0.628 
	157.0 	268.2 	0.443 
	160.0 	261.0 	0.002 
	160.0 	261.0 	0.000 
	191.0 	217.8 	0.271 
	192.0 	217.8 	0.497 
	193.0 	218.6 	0.547 
	195.0 	220.2 	0.573 
	199.0 	223.4 	0.587 
	200.0 	225.0 	0.587 
	204.0 	228.2 	0.593 
	206.0 	229.0 	0.600 
	208.0 	232.2 	0.606 
	217.0 	241.0 	0.618 
	220.0 	244.2 	0.619 
	220.0 	245.8 	0.619 
	221.0 	247.4 	0.619 
	222.0 	248.2 	0.625 
	222.0 	249.8 	0.630 
	223.0 	249.8 	0.633 
	223.0 	250.6 	0.633 
	221.0 	247.4 	0.184 
	221.0 	247.4 	0.000 
