	x軸　	y軸	press
1	44.0 	218.6 	0.169 
2	43.2 	218.6 	0.410 
3	44.0 	218.6 	0.406 
4	44.8 	218.6 	0.406 
5	45.6 	217.8 	0.408 
6	50.4 	214.6 	0.419 
7	54.4 	212.2 	0.427 
8	58.4 	210.6 	0.431 
9	62.4 	209.0 	0.432 
10	66.4 	207.4 	0.429 
11	68.0 	206.6 	0.429 
12	69.6 	205.8 	0.430 
13	70.4 	205.8 	0.432 
14	72.0 	205.0 	0.431 
15	72.8 	205.0 	0.428 
16	72.8 	205.0 	0.000 
17	68.0 	198.6 	0.012 
18	66.4 	198.6 	0.302 
19	66.4 	199.4 	0.315 
20	65.6 	200.2 	0.330 
21	65.6 	202.6 	0.367 
22	64.8 	204.2 	0.385 
23	64.8 	210.6 	0.424 
24	64.0 	216.2 	0.449 
25	64.0 	221.8 	0.464 
26	64.0 	227.4 	0.474 
27	64.0 	237.0 	0.479 
28	64.8 	243.4 	0.482 
29	65.6 	249.0 	0.488 
30	67.2 	255.4 	0.498 
31	68.0 	262.6 	0.508 
32	69.6 	273.0 	0.515 
33	71.2 	279.4 	0.518 
34	72.0 	284.2 	0.521 
35	73.6 	288.2 	0.521 
36	75.2 	293.0 	0.520 
37	76.0 	296.2 	0.520 
38	76.8 	297.8 	0.515 
39	77.6 	298.6 	0.493 
40	77.6 	299.4 	0.469 
41	78.4 	291.4 	0.094 
42	78.4 	291.4 	0.000 
43	82.4 	233.0 	0.131 
44	82.4 	236.2 	0.291 
45	82.4 	237.8 	0.307 
46	82.4 	239.4 	0.321 
47	81.6 	243.4 	0.353 
48	80.8 	247.4 	0.377 
49	79.2 	254.6 	0.394 
50	77.6 	260.2 	0.400 
51	76.8 	263.4 	0.408 
52	73.6 	271.4 	0.411 
53	69.6 	279.4 	0.412 
54	67.2 	284.2 	0.411 
55	65.6 	287.4 	0.411 
56	64.0 	288.2 	0.410 
57	61.6 	289.0 	0.401 
58	59.2 	289.0 	0.387 
59	56.0 	285.8 	0.367 
60	55.2 	282.6 	0.356 
61	54.4 	278.6 	0.355 
62	54.4 	275.4 	0.354 
63	54.4 	269.0 	0.351 
64	56.0 	265.0 	0.351 
65	58.4 	261.0 	0.353 
66	61.6 	256.2 	0.354 
67	65.6 	251.4 	0.357 
68	72.0 	243.4 	0.366 
69	76.0 	240.2 	0.373 
70	80.0 	237.0 	0.381 
71	82.4 	235.4 	0.388 
72	86.4 	233.8 	0.391 
73	88.8 	233.8 	0.405 
74	92.8 	235.4 	0.410 
75	93.6 	236.2 	0.413 
76	96.0 	240.2 	0.423 
77	97.6 	244.2 	0.436 
78	99.2 	248.2 	0.455 
79	100.0 	252.2 	0.467 
80	101.0 	258.6 	0.479 
81	101.0 	262.6 	0.483 
82	101.0 	266.6 	0.487 
83	101.0 	269.0 	0.487 
84	101.0 	270.6 	0.423 
85	101.0 	268.2 	0.138 
86	101.0 	268.2 	0.000 
87	138.0 	255.4 	0.200 
88	136.0 	254.6 	0.332 
89	137.0 	253.0 	0.312 
90	140.0 	249.8 	0.312 
91	144.0 	245.8 	0.313 
92	150.0 	241.0 	0.324 
93	157.0 	237.0 	0.334 
94	164.0 	233.0 	0.342 
95	172.0 	229.8 	0.345 
96	176.0 	229.0 	0.349 
97	178.0 	229.0 	0.354 
98	179.0 	229.0 	0.366 
99	179.0 	230.6 	0.394 
100	179.0 	233.8 	0.432 
101	179.0 	237.8 	0.454 
102	178.0 	251.4 	0.480 
103	177.0 	260.2 	0.507 
104	176.0 	262.6 	0.514 
105	163.0 	269.0 	0.429 
106	154.0 	259.4 	0.336 
107	148.0 	249.8 	0.066 
108	148.0 	249.8 	0.000 
109	148.0 	227.4 	0.315 
110	150.0 	233.8 	0.481 
111	151.0 	249.8 	0.539 
112	150.0 	257.0 	0.555 
113	148.0 	268.2 	0.072 
114	148.0 	268.2 	0.000 
115	179.0 	219.4 	0.276 
116	180.0 	219.4 	0.422 
117	180.0 	219.4 	0.436 
118	181.0 	220.2 	0.448 
119	191.0 	229.0 	0.552 
120	196.0 	233.0 	0.567 
121	200.0 	237.0 	0.576 
122	207.0 	241.8 	0.581 
123	211.0 	245.0 	0.590 
124	213.0 	247.4 	0.596 
125	215.0 	249.0 	0.601 
126	216.0 	250.6 	0.604 
127	216.0 	244.2 	0.082 
128	216.0 	244.2 	0.000 
